fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,584,2,24,1,24
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,566,6600,116,6600,134
NIRISS_SIAF.xlsx,Calc:AE3,99,900,15,900,16
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,139,2,0,1,0
W22704-181.xlsx,Sheet1:E2,625,14196,122,14196,142
tri-approx.xlsx,data:F4,1608,8194,123,8193,138
Kickstarter Campaigns.xlsx,Bonus 1:B3,325,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,75,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,684,2049,74,2049,78
OBC8_4_16.xlsx,Data:I1233,8140,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,244,4189,373,4189,378
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,550,2,1,2,1
Homework 1 SFM.xlsx,Bonus:D5,222,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,147,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,96,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,297,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,107,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,106,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,696,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,580,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,220,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,258,6479,49,6478,55
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1252,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,146,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,286,252,3,252,3
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,187,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,497,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,363,6600,48,6600,56
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,220,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,6419,10,0,2,0
Du Lieu.xlsx,data_202007:E96800,1570,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1560,3,0,2,0
mapperComparisonData2.xlsx,Sheet3:K262,290,26,0,26,0
Starter_YK.xlsx,backers:A956891,214,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,909,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,225,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,249,9999,54,1,64
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,589,6,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,51,8,0,3,0
hybrids_05.xlsx,vw:C45,266,509,4,1,5
10214-0_57pcs.xlsx,Calcu:T7,79,1727,22,1727,24
clientOutput_001.xlsx,clientOutput:B2,133,6502,56,6502,65
غمراسن.xlsx,المشاريع:A3,76,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,104,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,105,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,563,6,0,1,0
وذرف.xlsx,المشاريع:B3,187,355,2,1,2
euler第686题.xlsx,Sheet1:D9,293,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,83,237,2,110,3
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,441,7335,68,7335,75
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,606,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,73,12,0,12,0
Xing -5.25.xlsx,Sheet2:G128,88,11,0,10,1
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,2040,33675,319,33675,357
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,87,1,0,1,0
homework 1 kickstarter chart.xlsx,data:E300,328,2,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,65,81,0,1,0
nm_Francis vs harmonic.xlsx,nm T1.8 flota:AO4,170,332,2,332,3
