fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,734,1,26,1,26
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,382,5610,192,5610,210
NIRISS_SIAF.xlsx,DDC:C20,92,22,1,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,162,2,0,1,0
W22704-181.xlsx,Sheet1:D2,674,14196,199,14196,220
tri-approx.xlsx,data:F4,1591,8194,190,8193,201
Kickstarter Campaigns.xlsx,Bonus 1:D5,351,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q20,75,12,1,12,1
model_OLD_13Feb.xlsx,X.b:G59,641,669,10,664,11
OBC8_4_16.xlsx,Data:J18035,7579,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,282,192,1,1,2
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,515,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D4,197,4,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,213,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,88,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,338,4,1,4,1
工作簿1-20181122112139234.xlsx,不良明细:CEA5,100,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,93,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,663,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,501,6,1,1,1
Excel-Challenge Homework.xlsx,Sheet1:E81,196,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,244,6479,129,6478,135
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1238,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,81,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,257,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,247,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,309,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,364,5610,98,5610,105
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,256,4,1,1,1
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,6111,6,1,1,1
Du Lieu.xlsx,data_202007:G43868,1413,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,1371,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,277,0,0,0,0
Starter_YK.xlsx,BONUS:D6,203,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,886,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,207,4,1,1,1
Delay-CI-Rawdata.xlsx,Sheet1:B28,135,9999,96,1,107
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,531,6,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,49,3,0,1,0
hybrids_05.xlsx,vw:F30,259,505,4,1,5
10214-0_57pcs.xlsx,Calcu:B3,71,1073,18,1072,19
clientOutput_001.xlsx,clientOutput:C1500,119,3,0,2,0
غمراسن.xlsx,المشاريع:A3,69,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CEA5,93,2,0,1,0
