fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,480,2,23,1,24
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,441,6600,132,6600,149
NIRISS_SIAF.xlsx,Calc:AE3,97,900,19,900,20
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,173,2,0,1,0
W22704-181.xlsx,Sheet1:E2,612,14196,184,14196,208
tri-approx.xlsx,data:F4,1568,8194,135,8193,151
Kickstarter Campaigns.xlsx,Bonus 1:B3,377,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,74,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,668,2049,36,2049,39
OBC8_4_16.xlsx,Data:I1233,7915,55,0,55,0
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,246,4189,673,4189,677
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,474,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D5,221,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,142,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,91,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,384,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,223,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,251,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,690,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,554,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,223,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,255,6479,53,6478,61
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1210,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,109,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,281,252,3,252,3
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,278,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,416,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,322,6600,66,6600,77
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,270,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,6458,10,1,2,1
Du Lieu.xlsx,data_202007:E96800,1575,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1496,3,0,2,0
mapperComparisonData2.xlsx,Sheet3:K262,399,26,0,26,0
Starter_YK.xlsx,backers:A956891,210,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,899,59,1,58,2
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,276,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,139,9999,57,1,70
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,519,6,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,51,8,0,3,0
hybrids_05.xlsx,vw:C45,266,509,4,1,5
10214-0_57pcs.xlsx,Calcu:T7,78,1727,23,1727,25
clientOutput_001.xlsx,clientOutput:B2,131,6502,59,6502,66
غمراسن.xlsx,المشاريع:A3,75,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,104,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,103,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,485,6,0,1,0
وذرف.xlsx,المشاريع:B3,206,355,2,1,2
euler第686题.xlsx,Sheet1:D9,291,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,82,237,2,110,2
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,356,7335,72,7335,79
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,486,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,72,12,0,12,0
Xing -5.25.xlsx,Sheet2:G128,88,11,0,10,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,1978,33675,318,33675,356
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,87,1,0,1,0
homework 1 kickstarter chart.xlsx,data:E300,320,2,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,65,81,0,1,0
nm_Francis vs harmonic.xlsx,nm T1.8 flota:AO4,170,332,2,332,2
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,197,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,703,65205,386,1,397
completed Analysis.xlsx,Descriptive staistics:C5,255,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:E13,322,6600,66,6600,73
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A19762,2687,4,0,1,0
SchedulamaticAugA.xlsx,Classes:E101,40,534,3,534,4
MUS_CPM_results.xlsx,MUS_CPM_results:E10108,1081,4,0,1,0
