fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,631,1,23,1,24
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,417,5610,164,5610,181
NIRISS_SIAF.xlsx,DDC:C20,139,22,0,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,97,2,0,1,0
W22704-181.xlsx,Sheet1:D2,622,14196,126,14196,148
tri-approx.xlsx,data:F4,1602,8194,117,8193,131
Kickstarter Campaigns.xlsx,Bonus 1:D5,300,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q20,73,12,0,12,0
model_OLD_13Feb.xlsx,X.b:G59,626,669,6,664,7
OBC8_4_16.xlsx,Data:J18035,7325,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,271,192,1,1,2
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,503,2,1,2,1
Homework 1 SFM.xlsx,Bonus:D4,205,4,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,226,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,86,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,275,4,1,4,1
工作簿1-20181122112139234.xlsx,不良明细:CEA5,98,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,98,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,783,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,488,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,202,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,301,6479,42,6478,49
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1212,1,1,1,1
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,82,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,274,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,176,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,387,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,309,5610,110,5610,117
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,203,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,6081,9,0,2,0
Du Lieu.xlsx,data_202007:G43868,1356,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,1398,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,350,8,0,8,0
Starter_YK.xlsx,BONUS:D6,200,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,866,57,0,56,0
Homework - week 1.xlsx,Bonus:D4,245,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,125,9999,81,1,90
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,632,6,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,198,3,0,1,1
hybrids_05.xlsx,vw:F30,262,505,2,1,3
10214-0_57pcs.xlsx,Calcu:B3,74,1073,11,1072,13
clientOutput_001.xlsx,clientOutput:C1500,124,3,0,2,0
غمراسن.xlsx,المشاريع:A3,70,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CEA5,94,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,96,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,507,6,0,1,0
وذرف.xlsx,المشاريع:B3,175,355,2,1,2
euler第686题.xlsx,Sheet1:D24,301,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,79,147,1,133,1
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,427,490,3,1,4
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,607,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S14,126,12,0,12,0
Xing -5.25.xlsx,Sheet4:D24,81,9,0,9,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,1932,3,0,2,1
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,124,1,0,1,0
homework 1 kickstarter chart.xlsx,data:D546,339,1,0,1,0
