fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,627,2,26,1,27
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,497,6600,336,6600,356
NIRISS_SIAF.xlsx,Calc:AE3,95,690,13,690,14
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,102,2,0,1,0
W22704-181.xlsx,Sheet1:E2,607,14196,258,14196,278
tri-approx.xlsx,data:F4,1538,8194,187,8193,199
Kickstarter Campaigns.xlsx,Bonus 1:B3,369,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,74,9,1,9,1
model_OLD_13Feb.xlsx,Flows:E5,618,2049,222,2049,226
OBC8_4_16.xlsx,Data:I1233,7793,55,1,55,2
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,223,4187,4496,4187,4500
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,435,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D5,202,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,131,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,90,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,291,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,98,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,100,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,766,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,526,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,210,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,301,6479,80,6478,85
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1150,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,78,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,281,252,3,252,4
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,169,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,364,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,309,6600,192,6600,200
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,195,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,6088,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1273,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1375,1,1,1,1
mapperComparisonData2.xlsx,Sheet3:K262,377,26,0,26,0
Starter_YK.xlsx,backers:A956891,313,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,836,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,209,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,211,9999,83,1,90
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,569,6,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,45,8,0,3,0
hybrids_05.xlsx,vw:C45,238,509,5,1,6
10214-0_57pcs.xlsx,Calcu:T7,119,1727,41,1727,42
clientOutput_001.xlsx,clientOutput:B2,123,6502,108,6502,116
غمراسن.xlsx,المشاريع:A3,68,355,3,1,3
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,102,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,101,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,514,6,0,1,0
وذرف.xlsx,المشاريع:B3,176,355,2,1,3
euler第686题.xlsx,Sheet1:D9,274,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,78,218,4,89,4
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,352,7335,111,7335,116
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,458,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,99,12,0,12,0
Xing -5.25.xlsx,Sheet2:G128,83,11,0,10,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,1919,33675,599,33675,635
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,80,1,0,1,0
homework 1 kickstarter chart.xlsx,data:E300,304,2,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,62,81,1,1,1
nm_Francis vs harmonic.xlsx,nm T1.8 flota:AO4,159,332,4,332,4
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,215,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,559,65205,684,1,695
completed Analysis.xlsx,Descriptive staistics:C5,133,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:E13,344,6600,154,6600,159
