fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,710,1,24,1,25
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,359,5610,176,5610,194
NIRISS_SIAF.xlsx,DDC:C20,132,22,0,2,0
工作簿1-20181122170204822.xlsx,不良明细:CEA5,362,2,0,1,0
W22704-181.xlsx,Sheet1:D2,726,14196,195,14196,215
tri-approx.xlsx,data:F4,1657,8194,195,8193,208
Kickstarter Campaigns.xlsx,Bonus 1:D5,319,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q20,113,12,0,12,0
model_OLD_13Feb.xlsx,X.b:G59,712,669,11,664,12
OBC8_4_16.xlsx,Data:J18035,7746,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,265,192,1,1,2
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,514,2,1,2,1
Homework 1 SFM.xlsx,Bonus:D4,268,4,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,141,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,85,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,288,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,102,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,156,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,645,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,541,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,211,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,246,6479,83,6478,89
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1250,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,83,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,290,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,173,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,329,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,340,5610,106,5610,113
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,218,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,6408,6,0,1,0
Du Lieu.xlsx,data_202007:G43868,1405,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,1436,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,281,0,0,0,0
Starter_YK.xlsx,BONUS:D6,208,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,892,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,210,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,135,9999,177,1,184
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,502,6,0,1,1
kc1prdb01.xlsx,DISK_SUMM:B44,50,3,0,1,0
hybrids_05.xlsx,vw:F30,260,505,5,1,5
10214-0_57pcs.xlsx,Calcu:B3,77,1073,19,1072,20
clientOutput_001.xlsx,clientOutput:C1500,133,3,0,2,0
غمراسن.xlsx,المشاريع:A3,74,355,3,1,3
工作簿1-20181122164849850.xlsx,不良明细:CEA5,103,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,100,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,464,6,1,1,1
وذرف.xlsx,المشاريع:B3,228,355,3,1,3
euler第686题.xlsx,Sheet1:D24,282,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,79,147,2,133,3
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,354,490,8,1,8
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,553,6,1,1,1
VIL-2018-03.xlsx,MAR 5:S14,70,12,1,12,1
Xing -5.25.xlsx,Sheet4:D24,88,9,0,9,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,1979,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,87,1,0,1,0
homework 1 kickstarter chart.xlsx,data:D546,325,1,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,64,81,1,1,1
nm_Francis vs harmonic.xlsx,McalisterIanelli:L114,164,33,1,1,1
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,198,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,599,65205,712,1,726
completed Analysis.xlsx,Descriptive staistics:B6,142,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:C11,337,5610,98,5610,102
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A2665,2799,4,0,1,0
SchedulamaticAugA.xlsx,Classes:E88,40,9,0,4,0
MUS_CPM_results.xlsx,MUS_CPM_results:D6264,926,2,0,2,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,574,50543,610,50542,655
Weather (10h training).xlsx,Weather2:D41,163,4,0,4,0
MAP-原物料資料庫.xlsx,繩線類:M7,118,3,0,3,0
excel-challenge.xlsx,Original:I3871,214,1,0,1,0
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:H8357,2305,1,0,1,0
200729_EngineStudsTighteningTorqueR10.xlsx,Monocoque:AJ39,53,2,1,2,1
cw_updated_rgn_id.xlsx,cw_updated_rgn_id:C8634,677,3,0,1,0
Day2.xlsx,P1:C2,259,7254,190,7253,198
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B47,574,6,0,1,0
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,736,3695,44,3691,46
DB1.xlsx,Sheet3:D313,226,7,0,5,0
FlightData.xlsx,testflight1:E4145,304,2,0,1,0
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:D5,217,3,0,2,0
steam_trend_data.xlsx,steam:S20551,1527,2,0,2,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :AW1,266,0,0,0,0
Datos.xlsx,Movimientos:L449,167,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1288,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,753,8399,178,1,182
MR_2016Q4_Exam.xlsx,Sheet1:F1929,515,1,0,1,0
30-4.xlsx,Load-Displacement:D41,319,1439,27,1431,29
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,316,4,0,1,0
KickstarterStats.xlsx,Outcomes Based on Goal:D12,380,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,94,53,1,53,1
Surf_overlay_diag_E.xlsx,ZIKV:A41,414,5,0,2,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,484,2,0,2,0
crime_v3.xlsx,crime_v3:C11,3637,52484,909,1,931
StarterBook_jjree.xlsx,Original Data:I706,360,1,0,1,0
PV Angebots Tool.xlsx,PV-Data:H7852,1667,3,0,2,0
VIL-2015-12.xlsx,DEC 20:Q11,71,12,0,12,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,6839,8,0,8,0
Jan_2011.xlsx,Formatted Data:E1770,120,562,61,562,61
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,177,2,0,2,0
Solution_36.xlsx,Лист2:F13338,9477,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y38,184,8,1,3,1
Question 5.xlsx,Pre-Trade Single Stock:AJ25,2129,0,0,0,0
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,399,309,6,309,6
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,255,0,0,0,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,156,34,0,33,0
resultsTesting10multi.xlsx,resultsTesting2504:P45,72,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,103,2,1,1,1
Hedge Output.xlsx,Transaction Day mapping:A5,580,71,1,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,214,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,1267,13,0,12,1
CL4.xlsx,Sheet30:B61,204,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,194,4,1,4,1
