fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
final assessment.xlsx,Data:O42,6,1,5,1
bd_perfiles_7M_plateau.xlsx,bd_perfil:D634,4,0,2,0
viz.xlsx,viz:G5725,2,0,1,0
BYR PIJ DILUAR NORMATIF 2018.xlsx,FEB'18:G48,7,0,3,0
2010_Laramie_County_Primary_PbP.xlsx,Sheet1:BJ12,1,0,1,0
SPD_2020_hsl_import2.xlsx,Data (3):S3,6,0,3,0
2017下期間接費遂行状況 - (広州)R.xlsx,広州R:U15,22,0,7,0
Stock 30.01.20.xlsx,Target & Achivement:AC8,0,0,0,0
vkaminski__40792__PnmaRegas021800.xlsx,Depn&Tax:E83,684,13,40,13
metro.xlsx,Sheet7:A3,6763,7715,2537,7718
caldata.xlsx,Analysis for cur32:C2340,19,0,15,0
Conciliación Pacifico 2021.xlsx,BP CON MAR-21:F62,4,0,4,0
2021-04-01 COVID-19 Vaccine Data by County.xlsx,By County:I46,1,0,1,0
211018 BTC 2012년부터 변동성 돌파 확인.xlsx,BTC_USD Bitfinex Historical Dat:E2,5796,11573,2901,11575
louise_kitchen__22521__2Q Orig_Mgmta.xlsx,2Q Originations:G2627,2,0,2,0
1_Clean_Original_Intersection_Car_only.xlsx,Crossing-by_DRM2403:H17530,5,1,3,1
skips_pop_2019.xlsx,skips_pop_2019:D43131,1,0,1,0
poisson calc_20212022_olddata.xlsx,fixture:M1288,2,0,2,0
SolicitudGrafica_CN_09_01_CO_REC60.xlsx,Solicitud gráfica:B10,298,3,298,3
sally_beck__33957__Weekly Operating Report 2-22.xlsx,Data:M11,5,0,5,0
工作簿1-20181122143030504.xlsx,不良明细:CEA5,2,0,1,0
225 - Scatter and bubble charts soln.xlsx,Techniques:E7,4,0,3,0
School-related_arrests.xlsx,SCH_3T9_Male:D7,2,0,2,0
СВОДНАЯ_ТАБЛИЦА_ДАННЫХ_2.xlsx,ВЕТЕР_класт:A4,165,2,57,2
Datos municipios.xlsx,tam&dens-mun:A1974,2,0,1,0
Libro3.xlsx,FORMATO :D10,4,0,4,0
Marker & Deposit AUGUST 19.xlsx,SUMMARY (B):K47,3,0,2,0
subset3-tally.xlsx,tally:D898,1,0,1,0
blocc2.91 10th Mar 06_25.xlsx,LocationAdj:K12,47,0,41,0
DataSource_Spaeth_Bahuguna_et_al.xlsx,Supp. Fig. 2:A3,106,1,1,1
Fallzahlen_Kum_Tab_20211123_084522.xlsx,BL_7-Tage-Fallzahlen (fixiert):UB8,0,0,0,0
lluvia.xlsx,Datos:C23,590,3,197,3
Ventas mar 2020.xlsx,Ventas marzo 2020:T49,14,0,5,0
1801-1820班高一期考（2）成绩统计表20190708.xlsx,总表:I83,1942,18,1884,19
FullEodyData.xlsx,ΕΜΒΟΛΙΟ GRAPH:U17,5,0,5,0
StarterBook-Excel-Homework (version 1).xlsx,Kickstarter Table:I662,1,0,1,0
W23703-118.xlsx,Sheet1:D2,14196,154,7098,163
052018_Performance vs Target tracking_ENT.xlsx,Playback:AK54,0,0,0,0
INFORMACION-COLEGA-SAENZ.xlsx,CD (2):D35,101,0,41,0
工作簿1 - 副本-20181123111830856.xlsx,不良明细:CEA5,2,0,1,0
relacao_geral_-_vodanet_-_08-04-2014.xlsx,Anatel:N1213,227,2,1,2
27-03-2015_05_13_15 pm.xlsx,Hoja2:AL91,0,0,0,0
Kickstarter_Challenge_submit.xlsx,Kickstarter:J1820,2,0,2,0
Sample - Superstore_NovikovAV.xlsx,Orders:U3414,1,0,1,0
北京丽泽功能_集成测试20180123_v1.1_夏.xlsx,报告:E9,5,0,3,0
605ee6feca3ca.xlsx,Province:B49,1,0,1,0
Oracle.xlsx,P2P:P77,4,1,4,1
ipl_batting (2).xlsx,ipl_batting:A7474,1,0,1,0
ONLINE_DISPECINK_IP_dostupne_kapacity_20201114_05-01.xlsx,Regiony:AJ615,0,0,0,0
Metanalise_Deficit_POLINFRUT_APPLE.xlsx,Plan1:AZ613,0,0,0,0
Security_Aptitude_Analysis.xlsx,Calculations:N14,4,0,4,0
KANTOR CAMAT HULU KUANTAN.xlsx,KIB C:V17,29,0,3,0
Frac of Pol Impl This Yr - 3 - Ref.xlsx,Exogenous GDP Adjustment:B4,190,1,37,1
皓天工资3.1-3.31(2).xlsx,在职:AA21,0,0,0,0
2010 correlation.xlsx,correlation:C3,2,0,1,0
seasonStats.xlsx,Sheet1:N9,1,0,1,0
experiment results.xlsx,routers_data_process:G111,9,0,4,0
teeeest.xlsx,18:BI5,0,0,0,0
evaluate_score_Model_seq2seq_attention.xlsx,Sheet1:E13552,2,0,1,0
MSPRepDet_REF2015fSP.xlsx,aggregate:A2,28,0,28,0
Observed.xlsx,Observed:AZ13131,0,0,0,0
VIL-2015-02.xlsx,FEB 7:Q15,12,0,6,0
v12.xlsx,インストール手順:F45,14,1,13,1
stats_sample_revAU.xlsx,Sheet1:B5,1,0,1,0
8c20-1.xlsx,真实应力应变 -R-O model:B374,14,0,5,0
Lemke_2006.xlsx,layer:AU21,0,0,0,0
قلعة-سنان.xlsx,المشاريع:A3,355,2,1,2
SolicitudGrafic_CN_06_04_CO_REC130.xlsx,Solicitud gráfica:B10,298,2,298,2
Stock 26.11.20.xlsx,Final Stock:G63,9,0,6,0
Movable.exclosure.data.RAW.xlsx,Exclosure.data.biomass:N272,1,0,1,0
2019-06-15-0826_cyperidium_japonicum.xlsx,Measurements:C11,5610,78,1980,81
1-s2.0-S0002929720300173-mmc2.xlsx,Table S2:M139,1,0,1,0
W1GS66030-10.xlsx,Sheet1:C2,14196,124,7098,131
emissions_reduction_master_sheet.xlsx,SecAgg:A422,5938,41,1,41
harry_arora__12159__Volatility PJM.xlsx,Summer '98:B73,47,0,23,0
HistoricalQuotes.xlsx,Zions10Years:B38,27665,539,2519,558
صفاقس.xlsx,المشاريع:A3,355,1,1,1
FO-DE-PO-003-Formato Plan Integral de Mejora Organizacional.xlsx,4. Cronograma:J16,71,1,1,1
Stepping through filter coeficient population.xlsx,Sheet1:D520,3071,30,512,31
Model Input Document Satisloh V1.2 3BX- CPQ.xlsx,Configuration:E5,995,13,1,13
界面框架简述.xlsx,牛群结构:D50,2,0,2,0
data-1-1-3-StarterBook2nd go 2.xlsx,Descriptive Statistics Plays:B11,1,0,1,0
DraftPACompetenceRegisterNov2014forWPC_LOCKED.xlsx,4 Counts of categories & comps:C25,3,0,3,0
Master Valerie.xlsx,WHOQOL before:H9,2,0,2,0
Boat Club Accounts 2014-2015 (obsolete).xlsx,2014-2015 Current Account:E11,230,4,5,4
vkaminski__40671__DZCVShortTermFinal.xlsx,DZCV Short-Term Model:B113,44,0,22,0
AirportIq5010_export_1614978942044.xlsx,data:B19136,1,0,1,0
Skagit eDNA catch & length data 2017 final.xlsx,fyke sites catch report:FI16,0,0,0,0
SchedulamaticJulyB.xlsx,Classes:H32,9,0,5,0
Lab_TIF295_ArH2_pulses.xlsx,Script:A17,3,0,1,0
Bank Term Deposit Subscription Report.xlsx,Report:D288,7,0,5,0
2021-12QC_molds_monthly_v2.xlsx,wieght_report:E13,5,0,4,0
naiveBayesFinal.xlsx,Bayes Theorem:O5280,10,0,1,0
panGene_for manual check.xlsx,gene_SGD_no panID:P389,1,0,1,0
SFO-BAB Data View Definitions Matrix-2017-05-11.xlsx,Attributes:B12,1,0,1,0
SYNTHESE UKRAINE 2016 V30 11 2017.xlsx,Donetsk:P191,4186,71,561,72
cpp.xlsx,PDM - Postcards:AL44,5,0,3,0
plantillaExcel.xlsx,FEBRERO 2015:D36,9,0,9,0
kickstarter1.xlsx,Kickstarter :J473,2,0,2,0
QA Welcome to Excel.xlsx,2. Fill:C11,3,0,3,0
resultats.xlsx,test:E35,17,0,10,0
WebAssembly Security.xlsx,Topics by Category:AI13,0,0,0,0
unicef.xlsx,15. Econ. Indicators:I77,1,0,1,0
Alt2_85_CTU_Ret_SA.xlsx,OO:H568,98,0,98,0
OdhiamboObserved.xlsx,OBSSW175cm:E220,1,0,1,0
REPORT T06 - 2018.xlsx,Rpt:BC437,0,0,0,0
Akhila Mini Proj 3 Analysis.xlsx,Consolidated Data AFTER SOLVER:C16,153,2,52,2
controle-de-estoque.xlsx,Saidas:C1074,1,0,1,0
formatQC_molds_daily.xlsx,wieght_report:E37,5,1,4,1
Harris TX REP ABS Landscape.xlsx,REP Abs Landscape:AU43,1,0,1,0
VIL-2016-08.xlsx,AUG 26:Q14,12,0,6,0
bdflows.xlsx,annual_baseflowdominent:P6634,3,0,2,0
Whatsapp reporting database v0.xlsx,Sheet1:D633,2,0,2,0
REMISIONES-- E N E R O         --- 2 0 1 6.xlsx,REM OBRADOR :D112,4032,31,5,31
uploadsAziz..xlsx,1.Elevated Civil Structures:T5,125,1,81,1
jason_wolfe__13509__RP01-180 Data Response 12-00 Vol 2.xlsx,Dec:W278,1,0,1,0
relacao_geral_-_vodanet_-_16-07-2012.xlsx,VODANET:C699,2,0,1,0
data-1-1-3-StarterBook_git.xlsx,Failed US Photobooks:E5,1,0,1,0
Tio Cash Master 0260 Tapestry Thread Work Sort.xlsx,0263 Tapestry fam11:I5,160,1,160,1
updates5.xlsx,Sheet11:O648,1,0,1,0
Data - Survey Monkey Edited.xlsx,Question:A2,107,0,15,0
base_test.xlsx,Schedule 2021:AW1,16,1,8,1
MLVTBPLK-397.Estimate.xlsx,MLVTBPLK-397:D6,5,0,3,0
HMMC_AL_7102021.xlsx,Al7050:F5,1,0,1,0
v2.7.8_PIS-model.xlsx,Components:S821,1,0,1,0
HW3-TeamSchedules.xlsx,HW3-TeamSchedules:D44,8,0,2,0
pwt90_NA.xlsx,Data:H870,1,0,1,0
Resultats_protocole_1.xlsx,Resultats:I3,5,0,5,0
nkn_v_3-29.xlsx,INFO-FAQ - vstupy:A13,110,0,18,0
‘’‘00-5 .xlsx,Load-Displacement:D43,1274,16,424,16
VET_rsi_with_ema.xlsx,15m:P3,22350,435,5588,448
07-13 vRC8.3.xlsx,22:B243,39,1,7,1
ANEXO_16A_KARU_20210331_163622.xlsx,Anx16AME:T64,33,1,11,1
Importations Levant 1771.xlsx,Feuil1:P4,3,0,3,0
_BUDGET.xlsx,Mecra Kırılımı:A2625,13,0,1,0
malwarevsGPInfo_5.xlsx,GP:E39,3,0,3,0
statin_all PT.xlsx,Sheet1:G41,3,0,3,0
verivarsplot1.xlsx,verivarsplot1:X5302,2,0,2,0
1. StarterBook_James (1).xlsx,Bonus:C8,6,0,3,0
Idea 2.xlsx,Story shear:G3,51,0,21,0
201910Assignment6.xlsx,Change Log:A61,149,1,149,1
Алкогольна категорія_2016-2017_28112017.xlsx,CPP Інфляція:C1,30,0,1,0
human_validation_form.xlsx,VLookup Title:B43,60000,799,1,819
Central Operations Specialist - Data for Home Task.xlsx,1) Seasonality:O6,117,0,59,0
stat-smok-eng-2019-tab.xlsx,1.1:C7,2,0,2,0
realme stock 10.02 .21.xlsx,Sheet1:H65,9,0,6,0
GL_Driver_Safety_Report_ferguson_20211018_084228.xlsx,Pivot Tables:C7,1,0,1,0
SBM Annex A.xlsx,Sheet1:AE271,0,0,0,0
38기_2팀_개발문서완료_210416_최최최찐.xlsx,04_상세자료입력:G192,5,0,4,0
Perry Memorial Hospital_shoppable_services_210108.xlsx,Shoppable Services:E162,1,0,1,0
arena.xlsx,最高排名奖励:F80,14,0,8,0
1_STATA_Mode_Estimation Results.xlsx,Univaraite-All-Models:B10,4,1,3,1
shop.xlsx,ShopMall_Items:M194,1,0,1,0
plantillaExcelGEN.xlsx,FEBRERO 2015:E34,8,0,8,0
TIAN TMA4 APERIO.xlsx,Sheet1:Y15,2,0,2,0
IPL DASHBOARD 2.xlsx,Dashboard :T14,1,0,1,0
card.卡牌表.xlsx,被动技能:G22,2,0,1,0
Multiple Team Forecaster.xlsx,Throughput Monte Carlo:AB14,86,1,24,1
DataUpdate.xlsx,Sheet3:AY779,0,0,0,0
blocc2.6 9th Jan 09_13.xlsx,Growth:C12,48,0,24,0
Kickstarter Campaign Analysis.xlsx,Raw Data:L75,1,0,1,0
PerformanceEng.xlsx,PerformanceEng:F5,4,0,2,0
แบบฟอร์มรายการยา.xlsx,รายการยา:A38,9208,78,4604,83
MDC_SYRIA_FUN-MAP.xlsx,ROUTE:N3,28,0,27,0
StarterBook_ra.xlsx,Goal:D3,4,0,1,0
true-dps-test-cases.xlsx,Sheet1:C3,4,0,3,0
outputs.xlsx,display_anexos:G27,11,0,5,0
ds_2016_4_1372.xlsx,סכום נכסי הקרן:C20,1,0,1,0
2019-05-16-1007_berberis_darwinii (1).xlsx,Measurements:C11,5610,85,1980,88
圆通物流9月费用结算表.xlsx,圆通全网结算明细:H41,3,0,3,0
LEA_expression_last.xlsx,Foglio2:G32,1,0,1,0
В06УН_01_20160105 full.xlsx,Фильтр. Сигналы2:H2,3846,29,1,29
MarRevenue Jan 2019.xlsx,10N_22-33:E6,20,0,15,0
Open transaction review_V2_Investigation_a_Copy.xlsx,Sales_Delived not invoiced:K9,1,0,1,0
SAM-0.1 OR10x100-0.75_4 dataset analysis.xlsx,State026:G38,6,0,1,0
JUCS_14-07.xlsx,Hoja1:B3,1947,18,1,18
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B30%2BSeptember%2B2021.xlsx,Chart 3 - Archive ICU:A2,18,0,1,0
planilha-controle-de-estoque-contaazul-r.xlsx,Controle:F11,1,0,1,0
Supplementary Table 8 - DiffBind HDSigDB Overlap.xlsx,ActiveMotif_ChIPSeq.HDSigDB_enr:G9528,1,0,1,0
7238.xlsx,シート1:K3,1024,14,26,14
eczane.xlsx,Kızlar:B674,1,0,1,0
URS確認排程-20211022.xlsx,URS確認tmp:W47,3,1,2,1
Metric-SpreadSheet-Assignment.xlsx,ratings and predictions:I25,1,0,1,0
사업자 현황(2020년 10월 100대 생활업종).xlsx,참고:C6593,1,0,1,0
RMS-RA数据核对2017-03-17.xlsx,RMS-RA数据核对:F9,4,0,4,0
2019-05-23-1011_fritillaria_imperialis.xlsx,Measurements:D13,6600,101,1650,105
Lexington DOR FY2019 Residential Approved Values Assessor Assessment.xlsx,Print:H30,24,1,9,1
S3 Matches.xlsx,Match35:Y16,4,0,4,0
The Racquetball racquet Worksheet.xlsx,CompetitorAnalysis:D14,50,0,5,0
UK_keyWorkers.xlsx,Table 17:U7,1,0,1,0
20150204成绩统计.xlsx,Sheet1:E3,3,0,3,0
DemVeg_calculo.xlsx,calculo:U2,1,0,1,0
Symbolenbibliotheek_STOPTPOD_v0.98-beta.xlsx,Puntsymbolen:C225,1,0,1,0
Tin_MeanReversion.xlsx,MeanReversion_SP500:I759,42,0,31,0
Telecom Data Answer Key.xlsx,SUMIFS:B5,5,0,3,0
W6_V3 GroupSortFilter Soln.xlsx,Orders:S733,4,0,3,0
Facebook.xlsx,Posts:M755,1,0,1,0
covid-19-raw-data-2-6-2021.xlsx,TestingByDate (Test Date):G3,380,2,1,2
3.17. Practical example. Confidence intervals_exercise_solution.xlsx,Tasks 1-2:AE27,55,0,54,0
december-3-2020.xlsx,HigherED_TestsbyTestDate:C2,109,1,1,1
工作簿1 - 副本-20181123111444161.xlsx,不良明细:CEA5,2,0,1,0
visitors_2010.xlsx,Kalenteri:A1,1094,7,365,7
healthcare-dataset-stroke-data.xlsx,healthcare-dataset-stroke-data:I1292,1,0,1,0
ControllerLandingResults.xlsx,Feedback0:K44,1,0,1,0
ZBB_Harmonisation_hjmZdOE.xlsx,Dropdown_List:N4,10,0,1,0
LouisvilleMetro_Covid-19_Data_January112021.xlsx,Mann-Kendall Trend Tests - BETA:A109,30,0,5,0
Trash-Wheel-Collection-Totals-8-6-19.xlsx,Captain Trash Wheel:E10,5,0,5,0
DonorsByMM_2.xlsx,Sheet3:B50,1,0,1,0
maps_source_file_comparison.xlsx,StatsAll:G171,3,0,3,0
Pvt Households by commune and hh size.xlsx,2012:B144,1,0,1,0
laravel-excel-dzvpkqEjKL7qVySg6poYuFVI9PtF5bq7.xlsx,CashFlow & Billing:C7,39,0,11,0
Weekly-covid-admissions-and-beds-publication-210819.xlsx,Adult G&A Bed Occupied NonCOVID:E15,132,1,1,1
template_DRE.xlsx,Dashboard:AU26,27,1,27,1
final_ - Copy.xlsx,Sheet1:F39,12,0,5,0
Tháng 05.xlsx,Zhoushan08:F23,4,0,4,0
GL_Driver_Safety_Report_ferguson_20211018_145313.xlsx,Pivot Tables:M8,1,0,1,0
eight-centuries-of-global-real-interest-rates-r-g-and-the-suprasecular-decline-1311-2018-data.xlsx,VIII. Pers. sov. loans- 1312-:Q552,310,4,230,4
ITNS-Ch07-Excercises data - two groups-gdcsmall.xlsx,Carpenter1:C3,8,0,8,0
新征程第二期12月-4.xlsx,Sheet1:Q19,32,0,10,0
Excel Case Assignment.xlsx,Data:P3056,2,0,1,0
midterm.xlsx,Ex 2 - location Table:A2,11457,133,1,135
50. Practical example. Confidence intervals_exercise_solution.xlsx,Tasks 1-2:AE27,55,1,54,1
backup_data_storage.xlsx,7.12.2021:K23,5,0,3,0
Town7-SevenTeam-Townhouse-AppTesting.xlsx,TestCase_Register:A2,10,0,5,0
仪器信息-20170331(简).xlsx,仪器信息0331:M3052,1,0,1,0
قبلاط.xlsx,المشاريع:A3,355,20,1,20
Fact2Sheet_Corona_20200624.xlsx,ComparisonInf:F2,192,1,1,1
记录表2019-20190419.xlsx,步数统计:B2,29,0,5,0
R410A and R290 satCurve.xlsx,Sheet1:B36,1,0,1,0
7月短信运营(2)(1)_yj.xlsx,Sheet1:C4,4,0,3,0
Score Analog Lab 2555.xlsx,AEL_04:G58,1,0,1,0
2014临汾政府181个单位预算数据（截止2014-8-28）.xlsx,合计:C9,1,0,1,0
Census2011-ConstituencyProfile-uk.xlsx,KS201D:H84,7151,70,7151,74
COVID19DistrictWisePositivityAnalysis_2021-06-01.xlsx,Output Sheet:P10,349,4,1,4
expoente_de_hurst.xlsx,BVSP_HURST_15_Regressao:Y2,9329,111,4667,116
NAU San Francisco Parking Garage Meter Data.xlsx,Interval Data:B2194,12,0,2,0
manylabs.xlsx,Table 2:J3,5,0,3,0
工作簿1-20181122124418688.xlsx,不良明细:CEA5,2,0,1,0
Requirements6.xlsx,Instruction:E15,13,0,6,0
20200505_pval6_geneNames_junzli.xlsx,pval6_geneNames:F497,3,0,2,0
新屋装修.xlsx,扇灰&乳胶漆:D12,5,0,3,0
NEW TIMESHEET HEADINGS from KEIR SPREADSHEET.xlsx,Scorecard:Z1,11,0,11,0
Shanghai.xlsx,Overall:C36,9,0,7,0
McFarlane_2013_TrumboreUnp_inc.xlsx,layer:P193,1,0,1,0
ewembi_v_erainterim.xlsx,ewembi:A1080,2,0,1,0
سليمان.xlsx,المشاريع:A3,355,2,1,2
2013 Team STDs.xlsx,Sheet2:AR9,0,0,0,0
peru-population-2020-inei.xlsx,Pob x Genero:S44,7,0,5,0
bd7da560bb870b45ef38b341a24b745d.xlsx,MAIN SHEET - VVF (I) Ltd:O41,2,0,2,0
USF Platform SQL Scripts - ALL URLS - 07.07.17.xlsx,RUN FIRST:P2,8,0,4,0
PPARD.xlsx,X_train:B5905,1,0,1,0
ERT Schlumberger Transformation from ZZ to Res2D Updated09112020.xlsx,File Creation:V4,8348,89,8348,94
WSEFEP.xlsx,LBP+KNN(2):G16,4,0,3,0
passmiles.xlsx,Consolidation:P11,2,0,2,0
DMS(Data Matching Schedule)_R0(Seq1-2).xlsx,Gutters:AB44,0,0,0,0
serverOutput_020.xlsx,serverOutput_020:B1,11909,222,5955,229
Translations_Master_File-v1.58.50.xlsx,Labels:A777,121,1,1,1
RESULTADOS-OFICIALES-PRIMERA-CIRCUNSCRIPCION-SENATORIAL.xlsx,DETERMINACION:E11,89,1,37,1
8.1 nba small large array - Solutions.xlsx.xlsx,Box Scores:F38,25,0,4,0
sections.xlsx,ASTM WTM:F11,3,0,2,0
2019-06-11-0854_morus_australis.xlsx,Measurements:D13,6600,98,1650,101
positive and negative terms.xlsx,Sheet1:H3845,1,0,1,0
3.17.Practical-example.Confidence-intervals-exercise-solution.xlsx,Tasks 1-2:AE27,7,0,6,0
UCI_bank_marketing.xlsx,DAILY RANGE:C11,6,0,2,0
TutkaBay17May16 CTD data.xlsx,Data:CW114,0,0,0,0
RaveJump2-R94.xlsx,Free Game:I456,864,11,2,12
Rodrigo_Jacome_Enero.xlsx,RMI - ENERO 2017:T44,18,0,4,0
FrenchMeadows_2020_combined.xlsx,TREE:B36,9,0,1,0
EON GAS - Copy (3).xlsx,Elec:B13352,1,0,1,0
Schneider Equivalent Point Map.xlsx,Logical Map by Type:E6,966,6,7,6
mike_grigsby__27934__HS_WESTall1025.xlsx,Months:F4,306,2,153,2
sigeven_rote_rte001_controle_de_defeitos_manter_evento.xlsx,reteste2:F12,1,0,1,0
CX - MQSeries Downsizing & Upgrade Ballpark Estimation v0.7.xlsx,Timeline and Est :D4,32,0,1,0
nasdaq_result.xlsx,bot:Y4,100,1,1,1
20170515_MSR9005_cd3_1436_subset_fix_Lx.xlsx,cd3 L2 subs:S12,2,0,2,0
2017_q1_dec.xlsx,December 2016:N1563,1,0,1,0
CHILD STATUS - UNICEF_Expanded_Global_Databases_Overweight_May_2018.xlsx,Latest:W50,3,0,1,0
PSD_air_8_scans.xlsx,PSD_air_8_scans:B41,129,1,3,1
overhand_flat_statistics_freestyle_KNN(2)-checkpoint.xlsx,RapidMiner Data:B82,1,0,1,0
Mayacalibration__2014a.xlsx,data:P4,18247,274,12850,283
Fallzahlen_Kum_Tab_20210721_075055.xlsx,Fälle-Todesfälle-gesamt:B116,4,0,3,0
Unit1 homework aa.xlsx,Bonus:E29,5,1,1,1
test_prior 90.xlsx,Goal:B4,1,0,1,1
TOPPLATFORM PROFILES.xlsx,Sheet2:B16,1,0,1,0
Robin.xlsx,참조 테이블:F2,103,0,1,0
Vgas.xlsx,Armado:H1613,1,0,1,0
Day 4 High-Entropy Passphrases.xlsx,Day4Part2:GH44,14,0,4,1
Sample_Libreview_forCoding.xlsx,Sample_Libreview_forCoding:C35,79451,1326,52966,1411
110_个别报表_2019年度_润港化工_V0.1.xlsx,preCF:F59,25,1,12,1
BBG_Security_Application_User_List_v5_10.xlsx,Organization:D2,949,37,4,37
ISBN_2013.xlsx,2013:F7073,1,0,1,0
2019 WGWIDE hom SCO exchange format demersal fleet discards 2018 data.xlsx,length VIa:A10,55,1,1,1
SedimentDatabase_TE.xlsx,Data:B1581,1,0,1,0
Product_Spec_Migration-1000-1199.xlsx,sheet:EJ88,0,0,0,0
b76_0118.xlsx,Sheet1:C5,22,0,1,0
error-apportionment.xlsx,CSs and Loads:C19,1588,35,763,36
ListaIssueTratada.xlsx,Plan2:A980,1,0,1,0
Anexos-RTN-Setembro-2018.xlsx,4.1:J5,1,0,1,0
rick_buy__32843__Summary Oct 08.xlsx,Graph Data Sep 10:C180,12,0,4,0
publishedweek512021new.xlsx,Covid-19 - Daily registrations:A632,11,0,1,0
laravel-excel-pyxiHR0K1nvw8oZ9I9mJQ6cFTU5xaVDO.xlsx,CashFlow & Billing:C7,39,0,11,0
Apps_2017_18.xlsx,Initial Pop - TEST OPT:I5303,1,0,1,0
bikeshare-completed.xlsx,bikeshare-hour:B3646,7,0,2,0
sample-log-01.xlsx,DATA01:Y781,3,0,1,0
michelle_lokay__26822__Sept00pnr.xlsx,Reliant_27060 (blank):K12,101,1,101,1
（总表）大化二中在校生疫苗接种摸底排查登记表.xlsx,各班疫苗注射情况:U80,6,0,3,0
NHL2009-10.xlsx,2009-10:BM540,0,0,0,0
Zaius-EVT3-Thermal Report-TR-R01-20170627.xlsx,Summary:E4,4,0,4,0
grading-sheet-template.xlsx,Final Semestral Grade:N21,2,0,2,0
Machine1TrOWLClassification.xlsx,Prediction Results:B294,1,0,1,0
VT_EUReg_IND_V1p7.xlsx,ICM  ILM  IGF  IGH INM:P114,183,3,133,3
Disposal__building__reinforcement_steel__to_recycling_CH_U_AusSD_U.xlsx,Cut-off Criteria Output:F40,2543,25,1272,27
mike_grigsby__27862__HS_WESTall1115.xlsx,Months:F4,306,2,153,2
tuning.xlsx,Sheet1:G50,1,0,1,0
apr14_base.xlsx,Dates:D3,73,1,2,1
amitim_2016_4_313.xlsx,לא סחיר - קרנות השקעה:F112,3,0,2,0
standard_deviation_full.xlsx,Sheet1:AA2,0,0,0,0
vicon_xbee_trial_210721.xlsx,Sheet4:K10,3,0,1,0
Data_QAA.xlsx,TS:I47,1,0,1,0
visitors_2012.xlsx,Kalenteri:A1,1097,12,366,13
Kennedy_GPS_Jan31_2018.xlsx,Kennedy:G10569,1,0,1,0
全家台中盟立自動Cut.xlsx,估算:C4932,1,0,1,0
Mushroom-RandomTarget-ExpDataFile-Analysis-11 April 2021.xlsx,Capability:A2,54,1,4,1
Deliverable 1.xlsx,Kickstarter_Challenge:J687,2,0,2,0
DescriptionVI & HS Code 2018_rev06 - Copy.xlsx,Master-HSCode-VI:A2,17000,118,1,121
LUONG - 17 bao cao.xlsx,CC10:E4,138,4,53,4
SitP3.xlsx,Worksheet:BA16,0,0,0,0
W02-V04-Average Max Min Soln.xlsx,Orders:R204,4,0,3,0
Upwelling_Final-Feb 2018.xlsx,Sheet3:AC259,0,0,0,0
BookFlightpersons.xlsx,persons:D67551,1,0,1,0
HW 1-Rafael de Mendonca-Workbook.xlsx,Data:J2742,1,0,1,0
GPBUSD_EURGPB_EURUSD_19890627_20190225_1D.xlsx,GBPUSD_MP_20190226_204329:F3180,2,0,2,0
20190712 170521 Cut 2 效益.xlsx,多點斷筋:W39,15,0,6,0
dailybriefingANALYSIS.xlsx,United_Kingdom_Coronavirus_Brie:I1,2051,48,1,48
Eudaimonia.xlsx,Yohanes (Sep):C8,3,1,3,1
mary_fischer__25626__1291.xlsx,E12.XLS:M32,15,0,15,0
PointsCercle1.xlsx,Feuil2:B2,93,0,47,0
Entrée Bayonne 1749-1780.xlsx,Entrées:K157,3,0,2,0
ef56572934e65045f41571115f1fd689.xlsx,Abr:J474,3,0,2,0
RES_SLP_2012.xlsx,RES:D41,70266,984,70266,1050
BRL Roles Folios Properties Items WIP 130521.xlsx,Property Items:G5,407,2,253,2
2d_evaluation_template.xlsx,Rotated trajectory:D37,9,0,5,0
BFT_MED_QuarterlyCPUE.xlsx,Hoja1:B3,15,0,11,0
HISTORIS_KUKAR_2000-2010_data RPJMD-Rev2.xlsx,Direct N2O:M53,12,1,9,1
5_Stats_Ready_Meşrubat_Satışları_2019-2018_ANOVA.xlsx,2019-2018:E10,1,1,1,1
robin_rodrigue__33531__FTCan_Gas_Bench.xlsx,Sheet12:F121,3,0,3,0
darrell_schoolcraft__7809__imbalsumm0108.xlsx,NW:AC5,4,0,4,0
Mexico_Wildfires_2017.xlsx,Veracruz:A151,29,1,29,1
20180618.xlsx,数据处理:M37,3,0,2,0
10年交易计划 - 20181001.xlsx,10年计划-周:G1,314,2,208,3
kc1prapkc02.xlsx,DISK_SUMM:B51,3,0,1,0
Validation_result.xlsx,VA_17:F7,21,0,4,0
GF-FOR-025 Formato Evaluacion de Proveedores.xlsx,CALIFICACION PROVEEDORES:H2,912,14,912,14
robin_rodrigue__33369__FTCan_Gas_Bench.xlsx,Detail:E2505,1,0,1,0
EITI dataset_3April2015.xlsx,Country-level:N943,7,0,7,0
220112_FIRMACHAIN_Vesting_for_CSV(SAMPLE).xlsx,Work:AT14,2,1,1,1
data-1-1-3-StarterBook Lasho.xlsx,Kickstarter:I4082,1,0,1,0
SG_Excel_Hwk1.xlsx,Bonus:D6,4,0,1,0
regular_season_final.xlsx,Week 15:P5,162,2,137,2
btcpricetrainingdata3.xlsx,btcpricetrainingdata3:D497,2,0,1,0
