fileName,Max Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
data-1-1-3-StarterBook2nd go 2.xlsx,Descriptive Statistics Plays:B5,1,0,1,0
DraftPACompetenceRegisterNov2014forWPC_LOCKED.xlsx,4 Counts of categories & comps:D20,3,0,3,0
Master Valerie.xlsx,WHOQOL before:N21,2,0,2,0
Boat Club Accounts 2014-2015 (obsolete).xlsx,2014-2015 Current Account:E11,230,4,5,4
vkaminski__40671__DZCVShortTermFinal.xlsx,DZCV Short-Term Model:B4,409,7,116,7
AirportIq5010_export_1614978942044.xlsx,data:B19393,1,0,1,0
Skagit eDNA catch & length data 2017 final.xlsx,fyke sites catch report:GW15,0,0,0,0
SchedulamaticJulyB.xlsx,Classes:F123,534,7,178,7
Lab_TIF295_ArH2_pulses.xlsx,Read:D3,19,0,1,0
Bank Term Deposit Subscription Report.xlsx,Report:C294,7,0,6,0
2021-12QC_molds_monthly_v2.xlsx,wieght_report:E17,5,0,4,0
naiveBayesFinal.xlsx,Bayes Theorem:P5481,10,0,1,0
panGene_for manual check.xlsx,gene_SGD_no panID:N90,2,0,1,0
SFO-BAB Data View Definitions Matrix-2017-05-11.xlsx,Attributes:D11,1,0,1,0
SYNTHESE UKRAINE 2016 V30 11 2017.xlsx,Donetsk:P229,7493,81,625,84
cpp.xlsx,PDM - Postcards:AN499,5,0,3,0
plantillaExcel.xlsx,COMPARATIVOS VENTAS COLISION :C81,63,1,5,1
kickstarter1.xlsx,Outcomes Based on Goals:D5,4,0,1,0
QA Welcome to Excel.xlsx,3. Split:C56,4,0,1,0
resultats.xlsx,test:E3638,17,0,10,0
WebAssembly Security.xlsx,Developer-Relations by Category:B9,143,2,12,2
unicef.xlsx,15. Econ. Indicators:I16,1,0,1,0
Alt2_85_CTU_Ret_SA.xlsx,OO:H568,98,1,98,1
OdhiamboObserved.xlsx,OBSSW175cm:E7,1,0,1,0
REPORT T06 - 2018.xlsx,Rpt:CH355,82,1,46,1
Akhila Mini Proj 3 Analysis.xlsx,Consolidated Data AFTER SOLVER:C19,153,1,52,2
controle-de-estoque.xlsx,Saidas:A342,1,0,1,0
formatQC_molds_daily.xlsx,wieght_report:E37,5,0,4,0
Harris TX REP ABS Landscape.xlsx,REP Abs Landscape:BD45,1,0,1,0
VIL-2016-08.xlsx,AUG 26:Q15,12,0,6,0
bdflows.xlsx,annual_baseflowdominent:J6917,3,0,2,0
Whatsapp reporting database v0.xlsx,Sheet1:D706,2,0,2,0
REMISIONES-- E N E R O         --- 2 0 1 6.xlsx,REM OBRADOR :D112,4032,31,5,31
uploadsAziz..xlsx,2.Underground Civil Str :P5,759,9,162,10
jason_wolfe__13509__RP01-180 Data Response 12-00 Vol 2.xlsx,Dec:W2968,1,0,1,0
relacao_geral_-_vodanet_-_16-07-2012.xlsx,VODANET:C685,2,0,1,0
data-1-1-3-StarterBook_git.xlsx,Failed US Photobooks:D7,1,0,1,0
Tio Cash Master 0260 Tapestry Thread Work Sort.xlsx,0263 Tapestry fam11:I5,160,1,160,1
updates5.xlsx,Sheet11:N1271,1,0,1,0
Data - Survey Monkey Edited.xlsx,Question:C1,107,0,15,0
base_test.xlsx,Role List:K74,414,4,207,5
MLVTBPLK-397.Estimate.xlsx,MLVTBPLK-397:D5,5,0,3,0
HMMC_AL_7102021.xlsx,Al7050:F5,1,0,1,0
v2.7.8_PIS-model.xlsx,Components:S372,1,0,1,0
HW3-TeamSchedules.xlsx,HW3-TeamSchedules:B209,13386,228,6694,236
pwt90_NA.xlsx,Data:C8504,2,0,1,0
Resultats_protocole_1.xlsx,Resultats:F2,5,0,5,0
nkn_v_3-29.xlsx,konstrukce - stavebni cast:AC33,0,0,0,0
‘’‘00-5 .xlsx,Load-Displacement:D542585,1274,19,424,20
VET_rsi_with_ema.xlsx,15m:H6,22356,263,5590,275
07-13 vRC8.3.xlsx,22:B17,194,3,70,3
ANEXO_16A_KARU_20210331_163622.xlsx,Creditos:I42,82,1,6,1
Importations Levant 1771.xlsx,Feuil1:N73,3,0,3,0
_BUDGET.xlsx,Measured TV:E3,1275,53,1173,54
malwarevsGPInfo_5.xlsx,GP:F18617,5,0,3,0
statin_all PT.xlsx,Sheet1:E2678,3,0,3,0
verivarsplot1.xlsx,verivarsplot1:Y3961,2,0,2,0
1. StarterBook_James (1).xlsx,Bonus:C9,6,0,3,0
Idea 2.xlsx,Story shear:G3,51,1,21,1
201910Assignment6.xlsx,Change Log:A61,149,1,149,1
Алкогольна категорія_2016-2017_28112017.xlsx,Моделювання спонсорство 2018:J3,142,3,63,4
human_validation_form.xlsx,VLookup Title:B42,60000,747,1,766
Central Operations Specialist - Data for Home Task.xlsx,1) Seasonality:W9,118,1,118,1
stat-smok-eng-2019-tab.xlsx,1.1:D11,2,0,2,0
realme stock 10.02 .21.xlsx,Sheet1:I65,9,0,6,0
GL_Driver_Safety_Report_ferguson_20211018_084228.xlsx,Report:C6,4177,48,1,49
SBM Annex A.xlsx,Sheet1:AE257,0,0,0,0
38기_2팀_개발문서완료_210416_최최최찐.xlsx,04_상세자료입력:M182,8,0,2,0
Perry Memorial Hospital_shoppable_services_210108.xlsx,Shoppable Services:E133,1,0,1,0
arena.xlsx,最高排名奖励:F74,15,0,9,0
1_STATA_Mode_Estimation Results.xlsx,Test :C1,8,0,4,0
shop.xlsx,ShopMall_Items:M66,1,0,1,0
plantillaExcelGEN.xlsx,COMPARATIVOS VENTAS COLISION :C81,63,1,5,1
TIAN TMA4 APERIO.xlsx,Sheet1:AA10,0,0,0,0
IPL DASHBOARD 2.xlsx,Dashboard :T18,1,0,1,0
card.卡牌表.xlsx,卡牌:B47,9,0,2,0
Multiple Team Forecaster.xlsx,Throughput Monte Carlo:FH6,90,1,27,1
DataUpdate.xlsx,Sheet3:CN1030,0,0,0,0
blocc2.6 9th Jan 09_13.xlsx,Growth:B13,48,0,24,0
Kickstarter Campaign Analysis.xlsx,Raw Data:E3606,2,0,1,0
PerformanceEng.xlsx,PerformanceEng:G9,4,0,2,0
แบบฟอร์มรายการยา.xlsx,รายการยา:A25156,9208,92,4604,98
MDC_SYRIA_FUN-MAP.xlsx,ROUTE:E3,48,1,40,1
StarterBook_ra.xlsx,Goal:B12,4,0,1,0
true-dps-test-cases.xlsx,Sheet1:C6,4,0,2,0
outputs.xlsx,display_anexos:G27,11,0,5,0
ds_2016_4_1372.xlsx,סכום נכסי הקרן:D16,2,0,2,0
2019-05-16-1007_berberis_darwinii (1).xlsx,Measurements:E13,6600,149,1650,153
圆通物流9月费用结算表.xlsx,圆通全网结算明细:H134,3,0,3,0
LEA_expression_last.xlsx,Foglio2:X85,1,0,1,0
В06УН_01_20160105 full.xlsx,Фильтр. Сигналы2:H2,3846,30,1,30
MarRevenue Jan 2019.xlsx,11FRM_35:M43,23,0,6,0
Open transaction review_V2_Investigation_a_Copy.xlsx,Sales_Delived not invoiced:J51,2,0,2,0
SAM-0.1 OR10x100-0.75_4 dataset analysis.xlsx,State026:B44,6,0,1,0
JUCS_14-07.xlsx,Hoja1:B3,1947,15,1,15
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B30%2BSeptember%2B2021.xlsx,Table 4 - Delayed Discharges:B347946,251,2,1,2
planilha-controle-de-estoque-contaazul-r.xlsx,Controle:F40,1,0,1,0
Supplementary Table 8 - DiffBind HDSigDB Overlap.xlsx,ActiveMotif_ChIPSeq.HDSigDB_enr:G9785,1,0,1,0
7238.xlsx,シート7:A3,2320,21,580,22
eczane.xlsx,Kızlar:B200,1,0,1,0
URS確認排程-20211022.xlsx,URS確認:AJ285,0,0,0,0
Metric-SpreadSheet-Assignment.xlsx,ratings and predictions:I4,3,0,3,0
사업자 현황(2020년 10월 100대 생활업종).xlsx,지역별 업종검색:O26,17,0,1,0
RMS-RA数据核对2017-03-17.xlsx,RMS-RA数据核对:E17,7,0,5,0
2019-05-23-1011_fritillaria_imperialis.xlsx,Measurements:C13,6600,139,1650,142
Lexington DOR FY2019 Residential Approved Values Assessor Assessment.xlsx,Print:D45,26,0,12,0
S3 Matches.xlsx,Match35:W3,6,0,6,0
The Racquetball racquet Worksheet.xlsx,BaseCase:D9,81,1,9,1
UK_keyWorkers.xlsx,Table 17:S14,1,0,1,0
20150204成绩统计.xlsx,Sheet1:E11,3,0,3,0
DemVeg_calculo.xlsx,DemVegBarOpt:K64,2,0,1,0
Symbolenbibliotheek_STOPTPOD_v0.98-beta.xlsx,Puntsymbolen:C7,1,0,1,0
Tin_MeanReversion.xlsx,MeanReversion_SP500:I759,42,1,31,1
Telecom Data Answer Key.xlsx,SUMIFS:D22,20,0,7,0
W6_V3 GroupSortFilter Soln.xlsx,Orders:Q390,5,0,4,0
Facebook.xlsx,Posts:M2068,1,0,1,0
covid-19-raw-data-2-6-2021.xlsx,TestingByDate (Test Date):G3,380,3,1,3
3.17. Practical example. Confidence intervals_exercise_solution.xlsx,Al Bundy:C14972,14966,170,1,175
december-3-2020.xlsx,HigherED_TestsbyTestDate:C2,109,0,1,0
工作簿1 - 副本-20181123111444161.xlsx,不良明细:CBJ5,2,0,1,0
visitors_2010.xlsx,Kalent_pohja_kark:A1,1097,8,366,8
healthcare-dataset-stroke-data.xlsx,healthcare-dataset-stroke-data:K683,1,0,1,0
ControllerLandingResults.xlsx,Feedback50:I5838,2,0,1,0
ZBB_Harmonisation_hjmZdOE.xlsx,Dropdown_List:N4,10,0,1,0
LouisvilleMetro_Covid-19_Data_January112021.xlsx,Mann-Kendall Trend Tests - BETA:A91,30,1,5,1
Trash-Wheel-Collection-Totals-8-6-19.xlsx,Captain Trash Wheel:E12,5,0,5,0
DonorsByMM_2.xlsx,Sheet3:B156,1,1,1,1
maps_source_file_comparison.xlsx,StatsAll:B841,8,0,2,0
Pvt Households by commune and hh size.xlsx,2012:C1429,1,0,1,0
laravel-excel-dzvpkqEjKL7qVySg6poYuFVI9PtF5bq7.xlsx,Ammortization:K8,108,1,55,1
Weekly-covid-admissions-and-beds-publication-210819.xlsx,Adult G&A Bed Occupied NonCOVID:B660,1064,14,8,14
template_DRE.xlsx,Curva ABC - Vendas:AF77,0,0,0,0
final_ - Copy.xlsx,Sheet1:M2,80004,2010,80002,2088
Tháng 05.xlsx,Zhoushan08:F23,4,0,4,0
GL_Driver_Safety_Report_ferguson_20211018_145313.xlsx,Report:Y5,2216,19,1,20
eight-centuries-of-global-real-interest-rates-r-g-and-the-suprasecular-decline-1311-2018-data.xlsx,VII. Neg. rates freq.- 1313- :I595,947,76,368,76
ITNS-Ch07-Excercises data - two groups-gdcsmall.xlsx,Carpenter1:B4,11,0,11,0
新征程第二期12月-4.xlsx,Sheet1:K58,39,0,12,0
Excel Case Assignment.xlsx,Data:P1268,2,0,1,0
midterm.xlsx,Ex 2 - location Table:A2,11457,77,1,79
50. Practical example. Confidence intervals_exercise_solution.xlsx,Al Bundy:C14972,14966,169,1,174
backup_data_storage.xlsx,bets_9.20:G30,15,0,2,0
Town7-SevenTeam-Townhouse-AppTesting.xlsx,TestCase_Login:I173,13,0,2,0
仪器信息-20170331(简).xlsx,仪器信息0331:Y404,1,0,1,0
قبلاط.xlsx,المشاريع:A3,355,3,1,3
Fact2Sheet_Corona_20200624.xlsx,7_Average_Fat:DK66,5491,4946,1495,4949
记录表2019-20190419.xlsx,03:F11,91,1,9,1
R410A and R290 satCurve.xlsx,Sheet1:N360,1,0,1,0
7月短信运营(2)(1)_yj.xlsx,Sheet1:C4,4,0,3,0
Score Analog Lab 2555.xlsx,AEL_04:O59,4,0,1,0
2014临汾政府181个单位预算数据（截止2014-8-28）.xlsx,合计:B45,1,0,1,0
Census2011-ConstituencyProfile-uk.xlsx,KS201D:H596,7167,235,7167,238
COVID19DistrictWisePositivityAnalysis_2021-06-01.xlsx,Output Sheet:P10,349,4,1,4
expoente_de_hurst.xlsx,BVSP_HURST_15_Regressao:AC18,0,0,0,0
NAU San Francisco Parking Garage Meter Data.xlsx,Interval Data:B25625,12,0,2,0
manylabs.xlsx,Table 2:J7,5,0,3,0
工作簿1-20181122124418688.xlsx,不良明细:CBJ5,2,0,1,0
Requirements6.xlsx,Instruction:E17,14,0,6,0
20200505_pval6_geneNames_junzli.xlsx,pval6_geneNames:F9402,3,0,2,0
新屋装修.xlsx,扇灰&乳胶漆:A2,25,0,2,0
NEW TIMESHEET HEADINGS from KEIR SPREADSHEET.xlsx,Scorecard:Z1,11,0,11,0
Shanghai.xlsx,Overall:C42,9,0,7,0
McFarlane_2013_TrumboreUnp_inc.xlsx,layer:P193,1,0,1,0
ewembi_v_erainterim.xlsx,ewembi:A633,2,0,1,0
سليمان.xlsx,المشاريع:A3,355,3,1,3
2013 Team STDs.xlsx,Sheet2:AR7,0,0,0,0
peru-population-2020-inei.xlsx,PIRAMIDE:F11,37,1,19,1
bd7da560bb870b45ef38b341a24b745d.xlsx,CPD Bell Curve:D10,5,0,1,0
USF Platform SQL Scripts - ALL URLS - 07.07.17.xlsx,RUN FIRST:P2,8,1,4,1
PPARD.xlsx,X_train:B6419,1,0,1,0
ERT Schlumberger Transformation from ZZ to Res2D Updated09112020.xlsx,File Creation:V4,8348,95,8348,101
WSEFEP.xlsx,LBP+KNN(2):C11,4,0,3,0
passmiles.xlsx,Consolidation:M55,3,0,2,0
DMS(Data Matching Schedule)_R0(Seq1-2).xlsx,Gutters:AB86,0,0,0,0
serverOutput_020.xlsx,serverOutput_020:B1907,3,0,2,0
Translations_Master_File-v1.58.50.xlsx,Emails:K7,2,0,2,0
RESULTADOS-OFICIALES-PRIMERA-CIRCUNSCRIPCION-SENATORIAL.xlsx,DETERMINACION:B12,92,1,36,1
8.1 nba small large array - Solutions.xlsx.xlsx,Box Scores:F929959,25,0,4,0
sections.xlsx,ASTM WTM:G16,3,0,2,0
2019-06-11-0854_morus_australis.xlsx,Measurements:C13,6600,101,1650,105
positive and negative terms.xlsx,Sheet1:I4616,1,0,1,0
3.17.Practical-example.Confidence-intervals-exercise-solution.xlsx,Al Bundy:C14972,14966,233,1,237
UCI_bank_marketing.xlsx,DAILY RANGE:C4,6,0,3,0
TutkaBay17May16 CTD data.xlsx,Data:BI107,2,0,1,0
RaveJump2-R94.xlsx,Base Game:R2,1042,54,35,54
Rodrigo_Jacome_Enero.xlsx,RMI - ENERO 2017:T14,18,0,4,0
FrenchMeadows_2020_combined.xlsx,TREE:B36,9,1,1,1
EON GAS - Copy (3).xlsx,RHT Rates:Z5,50,0,1,0
Schneider Equivalent Point Map.xlsx,Logical Map by Type:F200,1196,9,599,10
mike_grigsby__27934__HS_WESTall1025.xlsx,Months:F4,306,3,153,3
sigeven_rote_rte001_controle_de_defeitos_manter_evento.xlsx,reteste2:F12,1,0,1,0
CX - MQSeries Downsizing & Upgrade Ballpark Estimation v0.7.xlsx,Timeline and Est :D4,32,0,1,0
nasdaq_result.xlsx,bot:F2539,100,1,1,1
20170515_MSR9005_cd3_1436_subset_fix_Lx.xlsx,cd3 L2 subs:V20,2,0,1,0
2017_q1_dec.xlsx,December 2016:M1588,1,0,1,0
CHILD STATUS - UNICEF_Expanded_Global_Databases_Overweight_May_2018.xlsx,Latest:X30,3,1,1,1
PSD_air_8_scans.xlsx,PSD_air_8_scans:B14,129,1,3,1
overhand_flat_statistics_freestyle_KNN(2)-checkpoint.xlsx,RapidMiner Data:B103,1,0,1,0
Mayacalibration__2014a.xlsx,data:J20,11427,167,8714,175
Fallzahlen_Kum_Tab_20210721_075055.xlsx,Fälle-Todesfälle-gesamt:B301,4,0,3,0
Unit1 homework aa.xlsx,Bonus:C32,5,0,2,0
test_prior 90.xlsx,Goal:B2,1,0,1,0
TOPPLATFORM PROFILES.xlsx,Sheet2:B11,1,0,1,0
Robin.xlsx,참조 테이블:J4,203,2,102,2
Vgas.xlsx,Cortante:F30490,3,0,1,0
Day 4 High-Entropy Passphrases.xlsx,Day4Part2:GB28,14,0,4,0
Sample_Libreview_forCoding.xlsx,Sample_Libreview_forCoding:C3983,79451,1357,52966,1437
110_个别报表_2019年度_润港化工_V0.1.xlsx,未审报表分析:F51,92,1,42,1
BBG_Security_Application_User_List_v5_10.xlsx,Position:BF5,1308,12,1,12
ISBN_2013.xlsx,2013:F9956,1,0,1,0
2019 WGWIDE hom SCO exchange format demersal fleet discards 2018 data.xlsx,length VIa:A10,55,0,1,0
SedimentDatabase_TE.xlsx,Data:B1577,1,0,1,0
Product_Spec_Migration-1000-1199.xlsx,sheet:EJ15,0,0,0,0
b76_0118.xlsx,Sheet1:C5,22,0,1,0
error-apportionment.xlsx,CSs and Loads:C19,1588,57,763,58
ListaIssueTratada.xlsx,Plan2:B709,1,0,1,0
Anexos-RTN-Setembro-2018.xlsx,4.1:F5,1,0,1,0
rick_buy__32843__Summary Oct 08.xlsx,Graph Data Sep 10:C181,12,0,4,0
publishedweek512021new.xlsx,Covid-19 - Daily registrations:A632,11,0,1,0
laravel-excel-pyxiHR0K1nvw8oZ9I9mJQ6cFTU5xaVDO.xlsx,Ammortization:K8,108,1,55,1
Apps_2017_18.xlsx,Initial Pop - TEST OPT:I5560,1,0,1,0
bikeshare-completed.xlsx,bikeshare-hour:B11401,7,0,2,0
sample-log-01.xlsx,DATA01:X3217,3,0,1,0
michelle_lokay__26822__Sept00pnr.xlsx,Reliant_27060 (blank):K13,101,1,100,1
（总表）大化二中在校生疫苗接种摸底排查登记表.xlsx,高一高二高三已打:D4596,4574,50,1,51
NHL2009-10.xlsx,2009-10:GB605,0,0,0,0
Zaius-EVT3-Thermal Report-TR-R01-20170627.xlsx,Summary:G18,4,0,1,0
grading-sheet-template.xlsx,Final Semestral Grade:F35,2,0,2,0
Machine1TrOWLClassification.xlsx,Prediction Results:B104,1,0,1,0
VT_EUReg_IND_V1p7.xlsx,IAL ICU INF:F193,7326,206,198,210
Disposal__building__reinforcement_steel__to_recycling_CH_U_AusSD_U.xlsx,Cut-off Criteria Output:F177,2543,25,1272,26
mike_grigsby__27862__HS_WESTall1115.xlsx,Months:F4,306,2,153,2
tuning.xlsx,Sheet1:H45,1,0,1,0
apr14_base.xlsx,Dates:D3,73,1,2,1
amitim_2016_4_313.xlsx,לא סחיר - קרנות השקעה:F112,3,0,2,0
standard_deviation_full.xlsx,Sheet1:AA2,0,0,0,0
vicon_xbee_trial_210721.xlsx,Sheet4:K10,3,0,1,0
Data_QAA.xlsx,TS:K2893,1,0,1,0
visitors_2012.xlsx,Kalenteri:A1,1097,12,366,13
Kennedy_GPS_Jan31_2018.xlsx,Kennedy:G7950,1,0,1,0
全家台中盟立自動Cut.xlsx,估算:L1088,1,0,1,0
Mushroom-RandomTarget-ExpDataFile-Analysis-11 April 2021.xlsx,Capability:A9,54,0,4,0
Deliverable 1.xlsx,Kickstarter_Challenge:J2106,2,0,2,0
DescriptionVI & HS Code 2018_rev06 - Copy.xlsx,Master-HSCode-VI:A2,17000,122,1,125
LUONG - 17 bao cao.xlsx,CC - 05:E4,208,5,63,5
SitP3.xlsx,Worksheet:AZ17,0,0,0,0
W02-V04-Average Max Min Soln.xlsx,Sales 2016:B12,9,0,3,1
Upwelling_Final-Feb 2018.xlsx,Sheet3:AD421,0,0,0,0
BookFlightpersons.xlsx,persons:D26531,1,0,1,0
HW 1-Rafael de Mendonca-Workbook.xlsx,Data:N3323,2,0,1,0
GPBUSD_EURGPB_EURUSD_19890627_20190225_1D.xlsx,GBPUSD_MP_20190226_204329:K4342,2,0,2,0
20190712 170521 Cut 2 效益.xlsx,多點斷筋:W703880,12,0,3,0
dailybriefingANALYSIS.xlsx,Speechonly:C184,9824,140,5607,144
Eudaimonia.xlsx,Yohanes (Sep):J6,3,0,3,0
mary_fischer__25626__1291.xlsx,E12.XLS:M33,15,0,15,0
PointsCercle1.xlsx,Feuil4:I5,366,3,2,3
Entrée Bayonne 1749-1780.xlsx,Entrées:M2660,3,0,2,0
ef56572934e65045f41571115f1fd689.xlsx,Fev:I468,4,0,2,0
RES_SLP_2012.xlsx,RES:D16485,70266,1027,70266,1100
BRL Roles Folios Properties Items WIP 130521.xlsx,Property Items:G5,407,3,253,3
2d_evaluation_template.xlsx,Rotated trajectory:D1291,9,0,5,0
BFT_MED_QuarterlyCPUE.xlsx,Hoja1:B14,15,0,11,0
HISTORIS_KUKAR_2000-2010_data RPJMD-Rev2.xlsx,Lahan sawah:F29,70,1,34,1
5_Stats_Ready_Meşrubat_Satışları_2019-2018_ANOVA.xlsx,2019-2018:E8,1,0,1,0
robin_rodrigue__33531__FTCan_Gas_Bench.xlsx,Sheet12:R702,3,0,2,0
darrell_schoolcraft__7809__imbalsumm0108.xlsx,by type:J4,69,1,68,1
Mexico_Wildfires_2017.xlsx,Veracruz:A151,29,0,29,0
20180618.xlsx,数据处理:K59,3,0,3,0
10年交易计划 - 20181001.xlsx,10年计划-周:G1,314,2,208,2
kc1prapkc02.xlsx,DISKBUSY:V191,8,0,3,0
Validation_result.xlsx,VA_region_P:O113101,245,2,1,2
GF-FOR-025 Formato Evaluacion de Proveedores.xlsx,CALIFICACION PROVEEDORES:L2,912,12,912,12
robin_rodrigue__33369__FTCan_Gas_Bench.xlsx,Detail:I2252,1,0,1,0
EITI dataset_3April2015.xlsx,Country-level:AH995,0,0,0,0
220112_FIRMACHAIN_Vesting_for_CSV(SAMPLE).xlsx,Work:AX1450,2,0,1,0
data-1-1-3-StarterBook Lasho.xlsx,Kickstarter:E258,2,0,1,0
SG_Excel_Hwk1.xlsx,Bonus:B4,4,0,1,0
regular_season_final.xlsx,Season Summary:B4,1519,37,568,38
btcpricetrainingdata3.xlsx,btcpricetrainingdata3:D1430,2,0,1,0
HashSetBench8.xlsx,CvS100:C41,2,0,2,0
Income Dashboard Excel File_Gaurav Topre.xlsx,Average:A1,10,0,5,0
Restart_Comparison.xlsx,Tahoe:J2,40,0,14,0
SFE1.xlsx,2:X4,3,0,2,0
JRC-IDEES-2015_Tertiary_DE.xlsx,SER_summary:K26,40,1,8,1
CargoTrackingSystem_CallGraph.xlsx,Method:D406,1,0,1,0
Data_Visualization_Exercises_COMPLETE.xlsx,Value-Based Formatting:B468889,300,3,60,3
Stock 23.04.20.xlsx,Target & Achivement:D10,54,0,27,0
EPE.xlsx,Daily Charts:B368,365,3,1,3
All_CIG.xlsx,MCTS:AB36,29,0,15,0
Analyzer_Testdata_v08.xlsx,Core_Calc_ng:H6,42,1,1,1
output_combined.xlsx,Ensemble weekend:B2425,115,2,18,2
股票筹码研究20210714.xlsx,消费:C56,51,1,37,1
laravel-excel-nYLJ0VmTBqJddjMHEEKgu4Ioo5uNT6La.xlsx,Ammortization:K8,108,1,55,1
60604c9f26c1d.xlsx,Province:A10,1,0,1,0
ee37c321-71e2-48e5-9821-91de20ea7207_TESTExcel.xlsx,3. 나누기:C56,4,0,1,0
全家台中盟立自動.xlsx,估算:N3309,1,0,1,0
605f27b10f98f.xlsx,Province:A14,1,0,1,0
RETAIL PRICE LIST APRIL 2018.xlsx,RETAIL:D96,2,0,1,0
Input file US data - final.xlsx,ReservoirData:H13,1,0,1,0
地市新增核对表格 _20点02.xlsx,山东:G6,1,0,1,0
2010_Sweetwater_County_General_PbP.xlsx,Sheet1:AB10,1,0,1,0
relacao_geral_-_vodanet_-_09-10-2012.xlsx,Semanal:C2,11,0,8,0
Deducción Arrendamiento.xlsx,base_trabajo:J23945,8,0,3,0
02-06-2018_104242Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-1.xlsx,Đề nghị mua hàng:C17,2,0,2,0
conditional formatting-1-with-guidelines.xlsx,Mountains:C12,6,0,1,0
JMP_2020_WinS_EGY_Egypt.xlsx,Sanitation Data:B26,12,0,2,0
Reltive and Absolute Post.xlsx,Final Summary Table:E22,12,0,2,0
191001_선물데이터_1틱.xlsx,풋매매_상방돌파:B10,126820,1727,25364,1815
monika_causholli__28265__Pulp Producers.xlsx,Indonesia:C43,34,0,12,0
snd36data.xlsx,Sheet1:K1343,1,0,1,0
bird.xlsx,bird_list:C419,2,0,2,0
PredictorData2017.xlsx,Monthly:F1331,1,0,1,0
Giroux_Rey30x.xlsx,L1:I2056,1,0,1,0
phillip_platter__31422__EES_Schedule.xlsx,day 2:N11,11,0,11,0
皓天工资1.1-1.31(2).xlsx,在职 (2):AA22,0,0,0,0
Monthly Data.xlsx,Sheet3:O4120,59225,789,1,807
Oras2020_07.xlsx,Oras:H186,6,0,2,0
events.xlsx,Raw Event List:A2,505,5,499,5
Marseille entrées 1766.xlsx,Sortie:K97,3,0,2,0
December%2B24%2B2021%2BCOVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily.xlsx,Table 3 - Ambulance:B347946,198,2,2,2
20190204_RootCountryLegend.xlsx,RootCountryLegend:A58,164,1,1,1
Kickstarter_Challenge_Azcona_Pablo.xlsx,Outcomes Based on Goals:B2,4,0,1,0
20161110.xlsx,时期:M982,10,0,6,0
全國訂單明細.xlsx,全國訂單明細:B47,1,0,1,0
darrell_schoolcraft__7786__imbalsumm0107.xlsx,NW:AA5,0,0,0,0
main-results.xlsx,data:M309,4,0,2,0
Stock 01.02.20.xlsx,Target & Achivement:D4,54,0,27,0
xi086IOnSDGhWx4SynXg_StandardNormalDistribution-1569042786247.xlsx,PDF(ProbabilityDistributionFunc:D24,23,0,2,0
phillip_platter__31377__EES_Schedule.xlsx,day 2:N11,9,0,9,0
rivers_analysis.xlsx,sewage rivers YOY:G347365,1960,28,1,29
TP1.xlsx,Sheet30:B35,7,0,2,0
ILC Report_13-Jul-2018_132213.xlsx,Weekending_Cal:B4,103,1,1,1
Speed test (UK only) 3 speed fields.xlsx,Speed test (UK only) 3 speed fi:C48213,3,1,3,1
xid可复制.xlsx,cid:G2369,1,0,1,0
2019-05-16-0804_crinodendron_hookerianum (1).xlsx,Measurements:E13,6600,159,1650,162
EBA Handoff Log_10252018.xlsx,EBA Handoff Log:E7183,27,0,3,0
REMISIONES-- NOVIEMBRE        --- 2 0 1 6.xlsx,OBRADOR REM :A2,265,2,265,2
compare-opt-noopt.xlsx,all_stats_noopt:G3165,2,0,1,0
GL_Driver_Safety_Report_ferguson_20211019_202728.xlsx,Report:C6,4177,41,1,42
Copy of CalTest_final_testhomes_uncalibrated_final V2_AdditionalHomes_Leif.xlsx,Summary:C21,8,0,7,0
jonathan_mckay__16893__Rate 11 Balancing - John McKay.xlsx,Rate 11 Balancing:B42,23749,391,5822,405
Janssen.GLOBAL.KPI.PAC.Variables.xlsx,KPIs:E5,1,0,1,0
Ranking_2020-09-30.xlsx,avrange of n:AG973,1,0,1,0
01.3.neuralnet_excel.xlsx,Circular v.1:LW4,300,4,1,4
Paretodata.xlsx,data:J23,32,1,4,1
transfusion.xlsx,training normalized:E5,4006,54,1504,56
manualisasi fix.xlsx,Sheet1:G264,13634,248,1137,256
trade_data.xlsx,Trade Sheet:L267,3,0,2,0
Ivan Head Count Diciembre_2021.xlsx,NOV TURNOS:F4,7,0,7,0
MPTitle_ACM.xlsx,MPTitle_ACM_1:I98,30,0,1,0
gstorey__12009__pipe_eco.xlsx,Nov-MARCH:C5,87,1,29,1
8. final results.xlsx,Charts:D3,7,0,3,0
indice_nupe_v.4.xlsx,Exemplo_Valor_Mercado:E6,37,0,16,0
python_MRI_percentiled_testing.xlsx,Percentiled mean + MA:B4784,1,0,1,0
Titanium spreadsheet MkII - Copy.xlsx,ChemOffice1:AF81,1,0,1,0
Adwords.xlsx,PPT BASE:B5,233,1,233,1
Chinese Phonetics new 9.xlsx,Sheet7:A1778,2,0,2,0
Elasticity of Power Plant Fuel Type Shifting wrt Fuel Price.xlsx,Calculations:B19,15,0,7,0
باردو.xlsx,المشاريع:A3,355,2,1,2
