fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,652,2,24,1,25
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,397,6600,137,6600,159
NIRISS_SIAF.xlsx,Calc:AE3,92,690,9,690,10
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,186,2,0,1,1
W22704-181.xlsx,Sheet1:E2,672,14196,127,14196,145
tri-approx.xlsx,data:F4,1633,8194,118,8193,130
Kickstarter Campaigns.xlsx,Bonus 1:B3,307,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,126,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,655,2049,34,2049,38
OBC8_4_16.xlsx,Data:I1233,7847,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,277,4187,355,4187,358
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,467,2,0,2,1
Homework 1 SFM.xlsx,Bonus:D5,211,4,0,1,1
MM1-0832H-6588.xlsx,P1dB Pt:S12,139,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,90,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,288,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,100,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,163,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,693,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,602,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,215,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,249,6479,50,6478,56
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1242,1,1,1,1
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,141,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,288,252,2,252,2
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,244,4,0,1,1
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,317,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,316,6600,149,6600,154
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,214,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,6148,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1323,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1531,1,0,1,0
mapperComparisonData2.xlsx,Sheet3:K262,388,26,1,26,1
Starter_YK.xlsx,backers:A956891,210,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,891,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,229,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,134,9999,54,1,65
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,491,6,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,47,8,0,3,0
hybrids_05.xlsx,vw:C45,252,509,4,1,5
10214-0_57pcs.xlsx,Calcu:T7,77,1727,23,1727,24
clientOutput_001.xlsx,clientOutput:B2,130,6502,60,6502,69
غمراسن.xlsx,المشاريع:A3,73,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,103,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,98,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,520,6,0,1,0
وذرف.xlsx,المشاريع:B3,233,355,1,1,1
euler第686题.xlsx,Sheet1:D9,294,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,78,218,1,89,2
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,357,7335,72,7335,80
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,474,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,68,12,0,12,0
Xing -5.25.xlsx,Sheet2:G128,85,11,0,10,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,1946,33675,391,33675,423
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,84,1,0,1,0
