fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,2244,1,71,1,71
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,1806,5610,759,5610,832
NIRISS_SIAF.xlsx,DDC:C20,442,22,1,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,182,2,0,1,0
W22704-181.xlsx,Sheet1:D2,1297,14196,669,14196,723
VIL-2015-03.xlsx,MAR 5:Q20,303,12,0,12,0
model_OLD_13Feb.xlsx,X.b:G59,1165,669,20,664,29
OBC8_4_16.xlsx,Data:J18035,14620,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,719,192,2,1,2
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,546,2,0,2,0
MM1-0832H-6588.xlsx,IP3:C150,148,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,125,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,388,4,0,4,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,202,2,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,286,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,266,6479,93,6478,100
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1288,1,1,1,1
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,89,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,294,11,1,2,1
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,187,4,1,1,1
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,335,2,0,2,0
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,229,4,0,1,1
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,6322,6,0,1,0
Du Lieu.xlsx,data_202007:G43868,1493,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,1469,3,1,2,1
mapperComparisonData2.xlsx,Sheet5:AX38,423,0,0,0,0
Starter_YK.xlsx,BONUS:D6,480,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,944,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,364,4,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,198,3,0,1,0
hybrids_05.xlsx,vw:F30,334,505,5,1,6
غمراسن.xlsx,المشاريع:A3,76,355,3,1,3
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,601,6,0,1,0
وذرف.xlsx,المشاريع:B3,191,355,4,1,4
euler第686题.xlsx,Sheet1:D24,292,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,83,147,3,133,3
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,876,490,67,1,67
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,815,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S14,78,12,1,12,1
Xing -5.25.xlsx,Sheet4:D24,381,9,1,9,1
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,3331,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,98,1,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,66,81,0,1,0
nm_Francis vs harmonic.xlsx,McalisterIanelli:L114,331,33,1,1,1
地方政府债券整理-hs.xlsx,Sheet2:A331,1318,65205,1642,1,1672
completed Analysis.xlsx,Descriptive staistics:B6,283,1,0,1,0
