fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,507,2,23,1,23
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,411,6600,117,6600,135
NIRISS_SIAF.xlsx,Calc:AE3,179,690,12,690,13
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,108,2,0,1,0
W22704-181.xlsx,Sheet1:E2,691,14196,123,14196,141
tri-approx.xlsx,data:F4,1728,8194,136,8193,148
Kickstarter Campaigns.xlsx,Bonus 1:B3,329,4,1,1,1
VIL-2015-03.xlsx,MAR 5:Q10,129,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,727,2049,34,2049,37
OBC8_4_16.xlsx,Data:I1233,8118,55,0,55,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,252,4187,464,4187,469
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,636,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D5,329,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,151,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,95,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,306,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,108,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,107,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,706,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,626,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,227,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,274,6479,51,6478,59
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1377,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,90,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,302,252,2,252,2
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,192,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,343,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,410,6600,49,6600,57
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,224,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,6524,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1747,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1507,1,0,1,0
mapperComparisonData2.xlsx,Sheet3:K262,302,26,0,26,0
Starter_YK.xlsx,backers:A956891,249,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,877,59,0,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,217,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,133,9999,54,1,65
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,524,6,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,49,8,1,3,1
hybrids_05.xlsx,vw:C45,252,509,4,1,5
10214-0_57pcs.xlsx,Calcu:T7,75,1727,22,1727,23
clientOutput_001.xlsx,clientOutput:B2,128,6502,97,6502,103
غمراسن.xlsx,المشاريع:A3,73,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,98,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,100,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,463,6,0,1,0
وذرف.xlsx,المشاريع:B3,180,355,2,1,2
euler第686题.xlsx,Sheet1:D9,274,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,79,218,2,89,2
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,346,7335,67,7335,72
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,474,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,67,12,0,12,0
Xing -5.25.xlsx,Sheet2:G128,87,11,0,10,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,1928,33675,323,33675,361
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,84,1,0,1,0
homework 1 kickstarter chart.xlsx,data:E300,303,2,1,1,1
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,64,81,0,1,0
nm_Francis vs harmonic.xlsx,nm T1.8 flota:AO4,166,332,2,332,3
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,198,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,666,65205,452,1,462
completed Analysis.xlsx,Descriptive staistics:C5,144,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:E13,319,6600,63,6600,70
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A19762,2848,4,0,1,0
SchedulamaticAugA.xlsx,Classes:E101,40,534,3,534,3
MUS_CPM_results.xlsx,MUS_CPM_results:E10108,932,4,0,1,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,466,50543,402,50542,440
Weather (10h training).xlsx,Weather2:I1310,165,6,0,4,0
MAP-原物料資料庫.xlsx,繩線類:N18,207,3,0,3,0
excel-challenge.xlsx,Original:E3567,214,2,0,1,0
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:A2032,2231,1,0,1,0
200729_EngineStudsTighteningTorqueR10.xlsx,Monocoque:D88,52,737,7,734,8
cw_updated_rgn_id.xlsx,cw_updated_rgn_id:C253,818,3,0,1,0
Day2.xlsx,P1:X2,222,7254,80,7253,86
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B66,457,6,0,1,0
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,785,3695,28,3691,30
DB1.xlsx,Sheet4:F466,216,40,0,38,0
FlightData.xlsx,testflight1:E5268,355,2,0,1,0
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:E12,215,7,0,3,0
steam_trend_data.xlsx,steam:Q25356,1906,2,0,1,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,314,220,1,220,2
Datos.xlsx,Movimientos:F596,106,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,1149,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V9,771,8399,59,1,62
MR_2016Q4_Exam.xlsx,Sheet1:E2510,521,2,0,2,0
30-4.xlsx,Load-Displacement:D25214,425,1439,10,1431,11
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,StatusByCategory:A3,328,8,0,2,0
KickstarterStats.xlsx,Outcomes Based on Goal:D2,426,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,90,1249,10,1249,11
Surf_overlay_diag_E.xlsx,ZIKV:E1046472,377,1,0,1,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:M22325,470,2,0,2,0
crime_v3.xlsx,crime_v3:C81,3694,52484,477,1,497
StarterBook_jjree.xlsx,BONUS1:E7,303,3,0,1,0
PV Angebots Tool.xlsx,PV-Angebot:A2,1629,5,0,5,0
VIL-2015-12.xlsx,DEC 8:Q34,71,9,0,9,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,6809,8,0,8,0
Jan_2011.xlsx,Formatted Data:D2700,116,3183,23,521,25
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,173,2,0,2,0
Solution_36.xlsx,Лист2:G50849,9847,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,190,8,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,2217,0,0,0,0
AP-Spring2018 (For Students).xlsx,Final Project:J1,393,315,7,315,7
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,249,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,152,49,1,48,1
resultsTesting10multi.xlsx,resultsTesting2504:H855,70,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,100,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,582,71,0,71,0
